INFO  - 2014-02-14 10:35:24.111; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^600+волосся^500+MAXWELL^400+MW^300+2201^200+BK^100+model:126797.0^1000&wt=ruby&rows=5} hits=1145 status=0 QTime=3 
INFO  - 2014-02-14 10:35:24.191; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^600+волосся^500+MAXWELL^400+MW^300+2202^200+BK^100+model:126798.0^1000&wt=ruby&rows=5} hits=1142 status=0 QTime=3 
INFO  - 2014-02-14 10:35:24.239; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^700+волосся^600+PANASONIC^500+EH^400+HS^300+60^200+W^100+model:114443.0^1000&wt=ruby&rows=5} hits=4504 status=0 QTime=6 
INFO  - 2014-02-14 10:35:24.252; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^500+волосся^400+PHILIPS^300+HP^200+4686\/22^100+model:105391.0^1000&wt=ruby&rows=5} hits=4753 status=0 QTime=7 
INFO  - 2014-02-14 10:35:24.266; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^500+волосся^400+PHILIPS^300+HP^200+8319\/00^100+model:139176.0^1000&wt=ruby&rows=5} hits=4753 status=0 QTime=6 
INFO  - 2014-02-14 10:35:24.282; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^500+волосся^400+PHILIPS^300+HP^200+8320\/00^100+model:139174.0^1000&wt=ruby&rows=5} hits=4753 status=0 QTime=5 
INFO  - 2014-02-14 10:35:24.327; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^500+волосся^400+PHILIPS^300+HP^200+8339\/00^100+model:123415.0^1000&wt=ruby&rows=5} hits=4753 status=0 QTime=7 
INFO  - 2014-02-14 10:35:24.342; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^500+волосся^400+PHILIPS^300+HP^200+8344\/00^100+model:138008.0^1000&wt=ruby&rows=5} hits=4753 status=0 QTime=6 
INFO  - 2014-02-14 10:35:24.351; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^500+волосся^400+PHILIPS^300+HP^200+8345\/00^100+model:132541.0^1000&wt=ruby&rows=5} hits=4753 status=0 QTime=4 
INFO  - 2014-02-14 10:35:24.450; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^500+волосся^400+PHILIPS^300+HP^200+8361\/00^100+model:140579.0^1000&wt=ruby&rows=5} hits=4753 status=0 QTime=6 
INFO  - 2014-02-14 10:35:24.528; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^500+волосся^400+PHILIPS^300+HP^200+8362\/00^100+model:123414.0^1000&wt=ruby&rows=5} hits=4753 status=0 QTime=6 
INFO  - 2014-02-14 10:35:24.537; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^600+волосся^500+ROWENTA^400+SF^300+1022^200+F0^100+model:126194.0^1000&wt=ruby&rows=5} hits=557 status=0 QTime=4 
INFO  - 2014-02-14 10:35:24.552; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^600+волосся^500+ROWENTA^400+SF^300+1042^200+F0^100+model:130984.0^1000&wt=ruby&rows=5} hits=550 status=0 QTime=4 
INFO  - 2014-02-14 10:35:24.572; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^600+волосся^500+ROWENTA^400+SF^300+3012^200+F4^100+model:116167.0^1000&wt=ruby&rows=5} hits=625 status=0 QTime=6 
INFO  - 2014-02-14 10:35:24.618; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^600+волосся^500+ROWENTA^400+SF^300+4412^200+D4^100+model:116168.0^1000&wt=ruby&rows=5} hits=757 status=0 QTime=6 
INFO  - 2014-02-14 10:35:24.627; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^600+волосся^500+ROWENTA^400+SF^300+6012^200+F0^100+model:128770.0^1000&wt=ruby&rows=5} hits=539 status=0 QTime=2 
INFO  - 2014-02-14 10:35:24.637; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^600+волосся^500+VITEK^400+VT^300+1315^200+BW^100+model:131908.0^1000&wt=ruby&rows=5} hits=720 status=0 QTime=3 
INFO  - 2014-02-14 10:35:24.659; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^600+волосся^500+VITEK^400+VT^300+1333^200+BK^100+model:105938.0^1000&wt=ruby&rows=5} hits=1436 status=0 QTime=4 
INFO  - 2014-02-14 10:35:24.704; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^600+волосся^500+VITEK^400+VT^300+1335^200+VT^100+model:113930.0^1000&wt=ruby&rows=5} hits=652 status=0 QTime=3 
